nos_id,industry,title,overview,performance_criteria,knowledge_understanding,keywords,relevant_roles,ofqual_id,unit_id,unit_title,unit_description,unit_learning_outcomes,qualification_type,qualification_level,assessment_methods,sector_subject_area,awarding_organisation,total_credits,guided_learning_hours,total_qualification_time,awarding_organization,similarity_score
PROSUM04,Supervision of Underground Mining Operations,"Carry out mine safety, first aid and emergency organisation","This qualification is specifically designed for the officers in Mines Rescue Services, confirming competence in an occupational role to the required standards.","- Reduce the risk and impact of emergencies  
- Respond to emergency situations  
- Deal with casualties  
- Control safe evacuation  
- Preserve affected areas and evidence","- Roles and responsibilities of mine personnel regarding emergencies  
- Definitions of hazard, accident, incident, dangerous occurrence, and emergency situation  
- Standards for workplace cleanliness and tidiness  
- Techniques for dynamic risk assessment and safe manual handling  
- Organisational and legislative procedures during emergencies  
- Identification of potential injuries and types of emergency situations in mining  
- Procedures for evacuation and extinguishing fires  
- Importance of equipment and facilities in emergency situations  
- Protocol for maintaining exclusion zones and preserving evidence","mines, supervision, underground, emergency, safety, first aid, evacuation, hazard, legislation, risk assessment, personnel","- Mine Supervisors  
- Coal Mining Operatives  
- Managers in Mining  
- Quarry Workers  
- Related Operatives",610/2911/7,D/650/7588,Mine Escape and Emergency Organisation,Details procedures for mine escape and emergency organisation.,"1. Understand mine emergency procedures.
  - Demonstrate escape techniques in emergencies.
  - Organise response teams for mine emergencies.",Occupational Qualification,Level 4,"Observation, Portfolio of Evidence, Practical Demonstration/Assignment, Professional Discussion",Manufacturing technologies,/organisations/RN5195,121.0,352.0,1176.0,MP Awards,0.7486896234707817
IMPEM119S,Engineering Maintenance in Food Manufacture,Maintain mechanical equipment within an engineered system used in food and drink operations,This qualification is designed to develop and assess the skills and knowledge of maintenance engineering learners in the food and drink sector and to prepare them for employment or further study.,"- Work safely and comply with health and safety regulations.  
- Follow maintenance schedules and conduct activities within defined authority.  
- Execute maintenance in specified sequence and timeframes.  
- Report any maintenance discrepancies or defects.  
- Accurately complete maintenance records.  
- Dispose of waste materials following safe procedures.","- Knowledge of maintenance procedures and equipment specifications.  
- Understanding of risk assessment and safety regulations (HACCP, COSHH).  
- Ability to perform safe isolation of different equipment sources.  
- Familiarity with dismantling and re-assembling various mechanical, electrical, and process control components.  
- Skills in adhering to organizational guidelines and manufacturer instructions.","Food and drink, Engineering, manufacturing, maintenance, engineered system, integrated system, mechanical","- Maintenance Engineer  
- Food Production Operative",610/1418/7,D/650/3988,Perform engineering maintenance operations in the food and drink sector,Skills in conducting maintenance operations within the sector.,"1. Conduct engineering maintenance operations effectively.
  - Demonstrate safe maintenance procedures.
  - Complete tasks within specified guidelines.",Occupational Qualification,Level 3,"Coursework, Portfolio of Evidence, Practical Demonstration/Assignment, Presentation and Questioning, Professional Discussion, Project",Manufacturing technologies,/organisations/RN5184,240.0,1187.0,2400.0,FDQ Limited,0.7480282880484426
PROMR16,Mines Rescue Operations,Respond to Underground Mine Emergency,"This qualification is specifically designed for the officers in Mines Rescue Services, confirming competence in an occupational role to the required standards.","- Follow organizational procedures upon receiving a call for assistance.  
- Mobilize the rescue team(s).  
- Arrange transportation to the mine site.  
- Report to local management upon arrival.  
- Update situation report as per protocols.  
- Determine initial actions with the senior official on-site.  
- Ensure team and equipment readiness.  
- Obtain and interpret relevant mine plans.  
- Establish travel plans to designated rescue operation site.","- Scope and objectives of mines rescue work.  
- Mine management structure related to emergencies.  
- Emergency response procedures for rescue services.  
- Functions and responsibilities as per duty cards.  
- Legal and organizational requirements during emergencies.  
- Effective task allocation methods.  
- Communication strategies among all parties.  
- Interpretation of mine plans and situational data.  
- Transportation logistics for personnel and equipment.  
- Methods for establishing a “fresh air base.”  
- Incident log maintenance and reporting procedures.  
- Safety checks for rescue workers and equipment.  
- Knowledge of environmental monitoring and hazards.  
- First aid protocols and hazardous environment control measures.  
- Procedures for accounting for personnel during emergencies.","mines, mining, rescue, underground, operations, hazards, emergency","Coal mine operatives, Quarry workers, Managers in mining and energy, Mines Rescue Operations personnel.",610/2911/7,Y/650/7602,Respond to Underground Mine Emergency,Details response procedures for underground emergencies in mines.,"1. Effectively respond to underground emergencies.
  - Evaluate emergency situations quickly.
  - Coordinate rescue operations.",Occupational Qualification,Level 4,"Observation, Portfolio of Evidence, Practical Demonstration/Assignment, Professional Discussion",Manufacturing technologies,/organisations/RN5195,121.0,352.0,1176.0,MP Awards,0.7479537949356707
PROMR09,Mines Rescue Operations,"Acquire, store and issue resources to provide service delivery","This qualification is specifically designed for the officers in Mines Rescue Services, confirming competence in an occupational role to the required standards.","- Make accurate assessments of resource needs.  
- Monitor availability and quantities of control resources.  
- Report deficiencies in resource availability to relevant personnel.  
- Acquire necessary resources within levels of authority.  
- Maintain accurate and accessible records for authorized users.  
- Facilitate constructive communication with stakeholders.  
- Identify opportunities for service delivery improvement.  
- Ensure secure storage of resources and compliance with regulations.  
- Issue resources as requested while maintaining sufficient stock.  
- Explore alternative sources when demands exceed supply.  
- Promote health and safety guidance during resource issuance.","- Understanding workplace hazards and risks.  
- Decision-making based on risk assessments.  
- Knowledge of organizational policies and objectives.  
- Familiarity with records systems and how to influence service changes.  
- Effective communication with diverse individuals.  
- Awareness of roles, responsibilities, and limits of authority.  
- Technical knowledge regarding resource handling and operational readiness.","mines, mining, rescue, underground, operations, hazards, emergency","- Coal mine operatives  
- Quarry workers and related operatives  
- Managers in mining and energy  
- Mines rescue operatives",610/2911/7,M/650/7592,"Acquire, Store and Issue Resources to Provide Service Delivery in Mines Rescue Operations",Focuses on resource management for mine rescue operations.,"1. Manage resources effectively during mine rescue operations.
  - Acquire necessary resources for rescue.
  - Store and issue resources efficiently.",Occupational Qualification,Level 4,"Observation, Portfolio of Evidence, Practical Demonstration/Assignment, Professional Discussion",Manufacturing technologies,/organisations/RN5195,121.0,352.0,1176.0,MP Awards,0.7475046720207442
SKAHDBR5,Hairdressing and Barbering,Colour and lighten the hair,This qualification is aimed at individuals looking to start a career as a hairdresser and covers a wide range of skills and knowledge required for the hairdressing industry.,"- Conduct a comprehensive consultation with clients.
- Ensure compliance with health and safety regulations.
- Assess and establish client objectives and treatment history.
- Perform hair and scalp analysis.
- Conduct suitability tests for the chosen products.
- Discuss achievable effects and obtain informed consent.
- Prepare the hair and skin before application.
- Select and apply products using the appropriate techniques.
- Monitor the process and client wellbeing throughout the service.
- Complete documentation and evaluations post-service.","- Roles and responsibilities in hair colouring/lightening.
- Legislative and ethical practices relevant to hair services.
- Anatomy and physiology related to hair and scalp.
- Contraindications for hair services.
- Types of colouring products and their effects on hair.
- Techniques for applying and removing colour/lightener.
- Importance of consultation and informed consent.
- Risks and health/safety obligations during services.
- Procedures for troubleshooting and handling adverse reactions.","hair colour, hair lightener, hair bleach, health and safety, consultation, product application, scalp analysis, continuous improvement, informed consent, techniques","- Hairdresser  
- Barber  
- Colour Specialist  
- Beauty Professional",500/9051/3,A/001/0007,Colour and Lighten Hair,Skills and methods for hair coloring and lightening.,"1. Apply various coloring techniques for hair.
  - Choose suitable color products based on hair type.
  - Follow safety procedures while coloring hair.",Vocationally-Related Qualification,Level 2,Practical Demonstration/Assignment,Service enterprises,/organisations/RN5217,54.0,470.0,540.0,City and Guilds of London Institute,0.7473069248422552
SKAHDBR1,Hairdressing and Barbering,"Shampoo, condition and treat the hair and scalp",This qualification is aimed at individuals looking to start a career as a hairdresser and covers a wide range of skills and knowledge required for the hairdressing industry.,"- Conduct thorough client consultations.  
- Adhere to health and safety regulations.  
- Perform hair and scalp analysis.  
- Confirm client understanding of treatments and obtain consent.  
- Detangle hair and select appropriate products.  
- Adapt water pressure and temperature for treatments.  
- Apply shampoo and conditioning using massage techniques.  
- Monitor client's condition during treatments.  
- Document treatments and outcomes.  
- Provide pre- and post-treatment advice.  
- Engage in reflective practice for continuous improvement.","- Roles and responsibilities in treatment provision.  
- Ethical practice and legislative compliance.  
- Anatomy and physiology related to hair and scalp.  
- Contraindications for hair services.  
- Recognizing health risks and adverse reactions.  
- Products used in treatments and their effects.  
- Modified techniques for different hair types.  
- Importance of continuous professional development.","Shampoo, condition, hair analysis, scalp treatment, health and safety, client consultation, massage techniques, reflective practice.","Hairdressers, barbers, beauty practitioners, and other professionals in the hairdressing and barbering sector.",500/9051/3,A/001/0004,Shampoo and Condition the Hair & Scalp,Techniques for properly shampooing and conditioning hair and scalp.,"1. Perform a shampoo and conditioning service.
  - Select appropriate products for different hair types.
  - Apply shampoo and conditioner effectively.",Vocationally-Related Qualification,Level 2,Practical Demonstration/Assignment,Service enterprises,/organisations/RN5217,54.0,470.0,540.0,City and Guilds of London Institute,0.7472612820185313
PPL1GEN8,"Drinks Dispense Systems, Food Production and Cooking, Hospitality - Generics",Maintain Basic Food Safety in Catering,This vocationally related qualification has been designed by City & Guilds in order to meet the needs of learners who work or want to work as professional chefs in the catering and hospitality sector.,"- Maintain personal health and hygiene  
- Follow organizational standards for attire  
- Treat cuts and report illnesses promptly  
- Wash hands in accordance with procedures  
- Clean surfaces and equipment continuously  
- Dispose of waste properly  
- Handle food to prevent contamination  
- Store food at appropriate temperatures","- Responsibilities under food safety legislation  
- Importance of maintaining hygiene and safety  
- Sources of information on hygiene and food safety  
- General hygiene rules, including hand washing  
- Importance of appropriate clothing and personal hygiene  
- Management of cuts and wounds  
- Separation of raw and cooked food  
- Handling allergenic foods  
- Correct cooking and storage temperatures  
- Cleaning procedures and their significance","food safety, hygiene, catering, waste disposal, personal health","Team Member, Waiter/Waitress, Bar Staff, Cook, Chef, Kitchen Assistant, Housekeeper, Room Attendant, Chamber Maid, Receptionist, Drinks Dispense Technician, Maintenance Team Technician",601/0717/0,H/502/0132,Food safety in catering,The aim of this unit is to provide learners with knowledge of the parameters of basic food safety practices as relevant to the catering industry.,"1. Understand how individuals can take personal responsibility for food safety
  - Outline the importance of food safety procedures, risk assessment, safe food handling and behaviour
  - Describe how to report food safety hazards
  - Outline the legal responsibilities of food handlers and food business operators.
2. Understand the importance of keeping him/herself clean and hygienic
  - Explain the importance of personal hygiene in food safety including its role in reducing the risk of contamination
  - Describe effective personal hygiene practices, for example, protective clothing, hand washing, personal illnesses, cuts and wounds.
3. Understand the importance of keeping the work areas clean and hygienic
  - Explain how to keep the work area and equipment clean and tidy to include cleaning and disinfection methods, safe use and storage of cleaning chemicals and materials, and waste disposal
  - State how work flow, work surfaces and equipment can reduce contamination risks and aid cleaning
  - Outline the importance of pest control.
4. Understand the importance of keeping food safe
  - State the sources and risks to food safety from contamination and cross-contamination to include microbial, chemical, physical and allergenic hazards
  - Explain how to deal with food spoilage including recognition, reporting and disposal
  - Describe safe food handling practices and procedures for storing, preparing, cooking, chilling, reheating, holding, serving and transporting food
  - Explain the importance of temperature controls when storing, preparing, cooking, chilling, reheating, holding, serving and transporting food
  - Describe stock control procedures including deliveries, storage, date marking and stock rotation.",Vocationally-Related Qualification,Level 2,"Practical Demonstration/Assignment, Practical Examination",Hospitality and catering,/organisations/RN5217,66.0,438.0,660.0,City and Guilds of London Institute,0.7471330239803469
PPL2PRD14,Food Production and Cooking,Produce basic cold and hot desserts Legacy,This vocationally related qualification has been designed by City & Guilds in order to meet the needs of learners who work or want to work as professional chefs in the catering and hospitality sector.,"- Ensure preparation area is clean and ready for use.  
- Ensure cleanliness and suitability of equipment for tasks.  
- Verify ingredients meet quality and safety requirements.  
- Prepare and cook ingredients as per dish requirements.  
- Assess final dish for correct color, texture, and flavor.  
- Ensure dish is maintained at proper cooking temperature.  
- Present and finish the dish to meet customer and workplace standards.  
- Store any unnecessary cooked desserts according to food safety guidelines.","- Safe and hygienic working practices for preparing and finishing desserts.  
- Criteria for ingredient quality and safety checks.  
- Reporting procedures for ingredient-related issues.  
- Importance of time and temperature in dessert preparation.  
- Techniques for preparation, cooking, and finishing desserts.  
- Healthy eating options relevant to dessert preparation.  
- Presentation standards for desserts to meet customer expectations.  
- Storage requirements for desserts not immediately consumed.  
- Problem-solving for unexpected issues during dessert preparation.","basic, hot, cold, desserts, food safety, allergen management, preparation methods, cooking methods, finishing methods.","Chef, Cook, Kitchen Assistant.",601/0717/0,L/601/6506,Produce hot and cold desserts and puddings,"This unit covers the preparation, cooking and finishing of hot and cold desserts and puddings for service in restaurants.","1. Be able to prepare and cook cold desserts
  - Prepare and cook cold desserts using correct equipment
  - Apply quality points to each stage of the process
2. Be able to finish cold desserts
  - Finish and present cold desserts using correct equipment
  - Check the finished product meets dish requirements
3. Be able to prepare and cook hot desserts and puddings
  - Prepare and cook hot desserts and puddings using correct equipment
  - Apply quality points to each stage of the process
4. Be able to finish hot desserts and puddings
  - Finish and present hot desserts and puddings using correct equipment
  - Check the finished product meets dish requirements",Vocationally-Related Qualification,Level 2,"Practical Demonstration/Assignment, Practical Examination",Hospitality and catering,/organisations/RN5217,66.0,438.0,660.0,City and Guilds of London Institute,0.7460117224503306
ASTBSC1,Specialist Cleaning,Work at and Clean a Biohazard Scene,Level 1 Award in Practical Cleaning Skills (Trauma Scenes) supports individuals into work by providing the skills cleaning operatives require.,"- Assess risks associated with cleaning trauma scenes.  
- Ensure appropriate vaccinations are received before cleaning.  
- Select and utilize correct personal protective equipment (PPE).  
- Clean and seal off the entrance to work areas.  
- Identify and appropriately deal with stains at biohazard scenes.  
- Safely manage spillages of blood and body fluids.  
- Collect and dispose of sharps safely.  
- Prevent further contamination during the cleaning process.  
- Choose and apply suitable decontamination methods.  
- Clean equipment post-use and return it to storage.  
- Segregate and dispose of waste according to regulations.  
- Safely transport waste to avoid spillages.  
- Manage waste spillages effectively.  
- Comply with legislative disposal requirements.  
- Seek guidance in accordance with organizational procedures.","- Risk assessment techniques for biohazard scenes.  
- Importance and recommended vaccinations for biohazard cleaning.  
- Types and uses of appropriate PPE.  
- Procedures for cleaning and sealing work area entrances.  
- Equipment and procedures for handling blood and body fluid spillages.  
- Benefits of antimicrobial agents for spill clean-up.  
- Safe handling and disposal procedures for sharps.  
- Contamination risks and prevention methods during cleaning.  
- Decontamination methods and selection criteria.  
- Importance of post-cleaning equipment sanitization.  
- Waste segregation and disposal protocols.  
- Legal consequences of improper waste disposal.  
- Organizational guidelines for seeking advice.","Biohazard scene, crime scene, pathogens, body fluids, cells.",Specialist cleaning personnel working in high-risk environments such as crime and trauma scenes or medical facilities.,603/4438/6,PCTS1,Work at and clean a trauma scene,"This unit is focused on the competencies required to safely clean trauma scenes, including the handling of hazardous items and bodily fluids.","1. Be able to prepare for cleaning bodily fluids, spillages and hazardous items at a trauma scene
  - Identify the risks associated with cleaning a trauma scene
  - Explain why you should be vaccinated before undertaking work in trauma scenes
  - Select, check and wear correct Personal Protective Equipment (PPE)
2. Be able to remove and clean bodily fluids, spillages and hazardous items at a trauma scene
  - Follow workplace procedures for entering a trauma scene
  - Identify and remove bodily fluids using correct methods and equipment
  - Inspect area to ensure all surfaces are cleaned, rinsed and dried.
3. Be able to dispose of bodily fluids and hazardous items and reinstate area at a trauma scene
  - Dispose of bodily fluids and hazardous items in accordance with legal and workplace requirements
  - Check, clean and dry equipment and materials after use.
  - Report situations outside the responsibility of the job role.",Occupational Qualification,Level 1,"Portfolio of Evidence, Practical Demonstration/Assignment, Practical Examination, Task-based Controlled Assessment",Service enterprises,/organisations/RN6036,,48.0,48.0,CIWM,0.7454435354464118
PROMR12,Mines Rescue Operations,Seal areas underground,"This qualification is specifically designed for the officers in Mines Rescue Services, confirming competence in an occupational role to the required standards.","- Identify suitable sites for sealing  
- Select appropriate construction methods for stoppings  
- Calculate required materials and manpower for stoppings  
- Mark selected sites clearly  
- Establish safe systems for erecting stoppings  
- Supervise the construction and installation of additional features  
- Monitor environmental conditions during operations  
- Confirm safe re-opening methods based on air quality analysis  
- Specify equipment and safety requirements for re-opening","- Legislative requirements for underground sealing  
- Organisational procedures for erecting stoppings  
- Types of stoppings and their limitations  
- Environmental factors and atmospheric monitoring  
- Design and construction principles for stoppings  
- Safe transport and handling of materials and personnel  
- Importance of effective communication and team briefings  
- Risk assessments and control measures for hazards","mines, mining, rescue, underground, operations, hazards, emergency, sealing, stoppings, safety","- Coal mine operatives  
- Quarry workers and related operatives  
- Managers in mining and energy  
- Mines rescue personnel",610/2911/7,Y/650/7595,Seal Areas Underground and Re-Open Sealed Areas in Mines Rescue Operations,Covers procedures for sealing and reopening mine areas.,"1. Implement strategies for sealing and reopening mine areas safely.
  - Seal areas according to protocols.
  - Re-open sealed areas adhering to safety standards.",Occupational Qualification,Level 4,"Observation, Portfolio of Evidence, Practical Demonstration/Assignment, Professional Discussion",Manufacturing technologies,/organisations/RN5195,121.0,352.0,1176.0,MP Awards,0.7449161044481367
COSVR596,Senior Crafts (Construction),Produce complex external plaster finishes and surfaces,"This qualification is vocationally based and offers the opportunity for learners to demonstrate an achievement of practical skills, understanding, and knowledge in plastering to enable progression to employment in the construction sector.","- Interpret relevant work and resource information.  
- Comply with legislative and safety guidelines during work.  
- Select appropriate quality and quantity of resources.  
- Minimize risk of damage to the work and surrounding area.  
- Follow contract specifications to efficiently complete work.  
- Complete tasks within the allocated time and according to program schedules.","- Understanding of interpreting various information types and solving related problems.  
- Knowledge of safe work practices, PPE usage, and emergency response.  
- Familiarity with resource selection, including materials and tools, and understanding their characteristics.  
- Awareness of damage prevention practices and waste disposal legislation.  
- Knowledge of maintenance for tools and equipment, and following methods to meet specifications.","External, Surfaces, Finishes, Backgrounds, Materials, Walls, Mouldings, Multiple, Coat, Render.","Plasterers, Construction Craftsmen, Senior Crafts professionals in the construction industry.",610/1069/8,O/H/618/0876,Apply Render to External Surfaces,Application of render to external surfaces.,"1. Demonstrate skills in applying render to external surfaces.
  - Prepare external surfaces for rendering.
  - Apply render to various types of external surfaces.",Vocationally-Related Qualification,Level 2,"Coursework, Multiple Choice Examination, Observation, Practical Examination, Project",Building and construction,/organisations/RN5194,50.0,490.0,500.0,NOCN,0.7449066669194003
PPLRPVD31,Road Passenger Vehicle Driving,"Transport parcels, luggage and other items in the taxi and private hire industries",The Level 2 Certificate in Introduction to the Role of the Professional Taxi and Private Hire Driver is designed to provide learners with the essential knowledge and skills needed for professional development in taxi and private hire driving.,"- Follow customer instructions for transportation and destination of items  
- Inspect items for damage before acceptance  
- Conduct risk assessments for manual handling  
- Employ correct lifting techniques  
- Protect items from stress, theft, and weather hazards  
- Manage situations where items are too heavy to lift  
- Conduct vehicle checks for lost property  
- Hand over lost property to the appropriate authority  
- Collect receipts for lost property","- Relevant regulations and insurance concerning item transport  
- Concepts of 'duty of care' and 'vicarious liability'  
- Handling substances with special requirements  
- Manual Handling Operations Regulations 1992  
- Conducting risk assessments and understanding potential injuries  
- Kinetic lifting principles  
- Consequences of transporting illegal goods  
- Licensing conditions for returning lost property","taxi, hackney carriage, private hire, luggage, manual handling, lost property, risk assessment, theft prevention","- Taxi drivers  
- Private hire vehicle drivers  
- Transportation operatives",603/3979/2,D/617/3988,Taxi and Private Hire: Transport Luggage and Parcels,This unit covers the safe and legal methods for transporting cargo such as luggage and parcels in taxi services.,"1. Understand the implications of transporting items safely within taxis.
  - Ensure that all baggage is secured for safe travel.
  - Knowledge of legal restrictions on carrying goods in taxis.",Occupational Qualification,Level 2,"Multiple Choice Examination, Practical Demonstration/Assignment",Transportation operations and maintenance,/organisations/RN5167,16.0,82.0,160.0,Scottish Qualifications Authority trading as SQA,0.7447563369289744
CCSJ45,"Jewellery Manufacture, Silversmithing and Allied Trades",Join jewellery or silverware components using advanced techniques,Level 5 Diploma in Jewellery Design and Manufacturing focusing on advanced techniques in jewellery manufacturing and design.,"- Join previously formed components using advanced techniques per project requirements  
- Use advanced soldering techniques to produce permanently joined components  
- Enhance the appearance and strength of components through design methods  
- Conduct initial checks for dimensional accuracy and forming quality  
- Rectify defects in accordance with industry best practices  
- Ensure the final product meets specified quality standards","- Safety precautions when joining components  
- Range of advanced joining techniques  
- Various materials for joining (precious/non-precious, metallic/non-metallic)  
- Importance of material selection for maximum strength  
- Practice of dry-assembling components before joining operations  
- Methods to ensure work meets specifications  
- Identification and rectification of common defects  
- Best practices in advanced joining techniques  
- Checking for dimensional accuracy of workpieces",Jewellery; silverware; design; technique; product; manufacture; join; silverwork; metallurgy; advanced; complex; expert,"Design Associate Professionals, Skilled Trades",603/4592/5,R/617/4989,Advanced Forming and Joining Techniques for Jewellery Manufacturing,This unit covers advanced techniques utilized in the forming and joining of various materials used in jewellery manufacturing.,"1. Demonstrate advanced forming techniques.
  - Utilize appropriate methods for forming materials.
  - Achieve high-quality finishes in jewellery components.
2. Apply joining techniques to jewellery materials.
  - Select suitable joining techniques based on material properties.
  - Ensure structural integrity in finished products.",Occupational Qualification,Level 5,"Portfolio of Evidence, Practical Demonstration/Assignment",Manufacturing technologies,/organisations/RN5167,108.0,612.0,1080.0,Scottish Qualifications Authority trading as SQA,0.7439715735034265
IMPEM113S,Engineering Maintenance in Food Manufacture,Work in Engineering Food and Drink Operations,This qualification is designed to develop and assess the skills and knowledge of maintenance engineering learners in the food and drink sector and to prepare them for employment or further study.,"- Work safely, adhering to health and safety regulations.
- Prepare the work area for engineering activities.
- Ensure sufficient supplies of materials meet work requirements.
- Store completed products/resources appropriately.
- Maintain cleanliness and order in the work area post-activity.
- Address and report problems within your control.
- Identify and communicate opportunities for improvements.
- Foster effective working relationships with colleagues.
- Review personal training and development needs.","- Efficient and effective working practices in engineering food and drink operations.
- Comprehensive understanding of food safety procedures and requirements.
- Awareness of tools, equipment, materials, and documentation necessary for tasks.
- Ability to address issues affecting the engineering process and suggest improvements.
- Importance of teamwork and communication within the workplace.",Food and Drink; Engineering; Manufacturing; Maintenance; Working Effectively; Working Efficiently; Working Practices; Working Methods; Use of Materials; Teamwork; Company Practices and Procedures.,Maintenance Engineer; Food Production Operatives.,610/1418/7,R/650/3984,Principles of electrical engineering operations in the food and drink sector,Understanding electrical engineering operations in the food and drink industry.,"1. Understand the principles of electrical engineering in food and drink.
  - Describe electrical safety practices.
  - Identify key electrical operations relevant to the sector.",Occupational Qualification,Level 3,"Coursework, Portfolio of Evidence, Practical Demonstration/Assignment, Presentation and Questioning, Professional Discussion, Project",Manufacturing technologies,/organisations/RN5184,240.0,1187.0,2400.0,FDQ Limited,0.7429888876900943
PPLRPVD22,Road Passenger Vehicle Driving,Provide professional customer service in the taxi and private hire industries,The Level 2 Certificate in Introduction to the Role of the Professional Taxi and Private Hire Driver is designed to provide learners with the essential knowledge and skills needed for professional development in taxi and private hire driving.,"- Demonstrate a professional image and meet legal requirements.  
- Efficiently address customers' needs and expectations, specifically regarding arrival times.  
- Assist customers with luggage and requests throughout their journey.  
- Collaborate with others to enhance customer service.","- The impact of personal appearance on customer impressions and business success.  
- Transportation options available to customers and reasons for choosing taxi/private hire services.  
- The importance of a clean vehicle, cordial interactions, and professional conduct.  
- Factors influencing customer expectations and service quality in the taxi/private hire sector.  
- Importance of equal treatment of all customers and understanding discriminatory practices and legislation.  
- The role of collaboration with others to improve service quality.","taxi, private hire, customer service, professionalism, discrimination, collaboration, service quality.","Taxi drivers, private hire vehicle drivers.",603/3979/2,T/617/3981,Taxi and Private Hire: Professional Customer Service,This unit focuses on delivering exceptional customer service in the taxi and private hire industry.,"1. Understand the importance of customer service in the taxi industry.
  - Establish customer service standards for taxi operations.
  - Handle customer complaints effectively.",Occupational Qualification,Level 2,"Multiple Choice Examination, Practical Demonstration/Assignment",Transportation operations and maintenance,/organisations/RN5167,16.0,82.0,160.0,Scottish Qualifications Authority trading as SQA,0.7429004289352016
PROMR23,Mines Rescue Operations,"Identify, monitor and control mine emergency hazards","This qualification is specifically designed for the officers in Mines Rescue Services, confirming competence in an occupational role to the required standards.","- Confirm understanding of assigned tasks and routes at the fresh air base.  
- Ensure suitable equipment and check operation of rescue equipment.  
- Complete inspections on breathing apparatus before operation.  
- Familiarize with mine plans and establish effective communications.  
- Travel safely through mine roadways and monitor the mine environment.  
- Report hazardous conditions and withdraw to safety when necessary.  
- Implement control measures for equipment issues or unforeseen circumstances.  
- Regularly report progress to responsible personnel.","- Legal and organizational requirements for rescue operations.  
- Procedures for health and safety risk assessment and record-keeping.  
- Mine hazards, including those arising during emergencies.  
- Safe usage and limitations of monitoring and emergency equipment.  
- Importance of effective communication and teamwork in emergency situations.  
- Legislative requirements for mine ventilation and techniques to restore it.  
- Knowledge of hazardous gases, dusts, and their physiological effects.  
- Procedures for interpreting readings and acting on them based on safety levels.","mines, mining, rescue, underground, operations, hazards, emergency","- Coal mine operatives  
- Quarry workers and related operatives  
- Managers in mining and energy  
- Mines Rescue Operations personnel",610/2911/7,H/650/7606,Control Activities Under Emergency Conditions in Mines Rescue Operations,Focuses on controlling operations during emergencies in mines.,"1. Supervise all activities during emergencies effectively.
  - Implement control measures during crises.
  - Coordinate team actions under stress.",Occupational Qualification,Level 4,"Observation, Portfolio of Evidence, Practical Demonstration/Assignment, Professional Discussion",Manufacturing technologies,/organisations/RN5195,121.0,352.0,1176.0,MP Awards,0.7420014403182117
COSVR72,Plastering (Construction),Position and secure fibrous plaster components,"This qualification is vocationally based and offers the opportunity for learners to demonstrate an achievement of practical skills, understanding, and knowledge in plastering to enable progression to employment in the construction sector.","- Interpret information relevant to work and resources  
- Comply with legislation and guidance for safe working  
- Select necessary resources for the tasks  
- Follow procedures to prevent damage to work and surroundings  
- Complete tasks in accordance with contract specifications  
- Finish work within allocated timeframes","- Procedures for reporting and resolving information discrepancies  
- Safety protocols and emergency response measures  
- Knowledge of material characteristics and problem-solving  
- Strategies for minimizing damage to work areas  
- Understanding of contract specifications and required maintenance  
- Time management and the significance of deadlines","- Cornice mouldings  
- Dado mouldings  
- Panel mouldings  
- Reinforce joints  
- Casting plasters  
- Fixing components","- Plasterers  
- Construction operatives  
- Supervisors  
- Managers",610/1069/8,O/K/618/0880,"Produce, Position and Secure Fibrous Plaster Components",Manufacturing and secure positioning of fibrous plaster components.,"1. Demonstrate skills in fibrous plasterwork.
  - Produce fibrous components correctly.
  - Position and secure components accurately.",Vocationally-Related Qualification,Level 2,"Coursework, Multiple Choice Examination, Observation, Practical Examination, Project",Building and construction,/organisations/RN5194,50.0,490.0,500.0,NOCN,0.7418908212221416
PROMR23,Mines Rescue Operations,"Identify, monitor and control mine emergency hazards","This qualification is specifically designed for the officers in Mines Rescue Services, confirming competence in an occupational role to the required standards.","- Confirm understanding of assigned tasks and routes at the fresh air base.  
- Ensure suitable equipment and check operation of rescue equipment.  
- Complete inspections on breathing apparatus before operation.  
- Familiarize with mine plans and establish effective communications.  
- Travel safely through mine roadways and monitor the mine environment.  
- Report hazardous conditions and withdraw to safety when necessary.  
- Implement control measures for equipment issues or unforeseen circumstances.  
- Regularly report progress to responsible personnel.","- Legal and organizational requirements for rescue operations.  
- Procedures for health and safety risk assessment and record-keeping.  
- Mine hazards, including those arising during emergencies.  
- Safe usage and limitations of monitoring and emergency equipment.  
- Importance of effective communication and teamwork in emergency situations.  
- Legislative requirements for mine ventilation and techniques to restore it.  
- Knowledge of hazardous gases, dusts, and their physiological effects.  
- Procedures for interpreting readings and acting on them based on safety levels.","mines, mining, rescue, underground, operations, hazards, emergency","- Coal mine operatives  
- Quarry workers and related operatives  
- Managers in mining and energy  
- Mines Rescue Operations personnel",610/2911/7,Y/650/7586,Identify Health and Safety Hazards and Risks in Mines,Covers the identification of health and safety hazards and risks in mining environments.,"1. Understand health and safety hazards in mines.
  - Identify key hazards and risks in mining operations.
  - Demonstrate safety protocols to mitigate risks.",Occupational Qualification,Level 4,"Observation, Portfolio of Evidence, Practical Demonstration/Assignment, Professional Discussion",Manufacturing technologies,/organisations/RN5195,121.0,352.0,1176.0,MP Awards,0.7416948467550506
