ofqual_id,overview,unit_id,unit_title,unit_description,unit_learning_outcomes,qualification_type,qualification_level,assessment_methods,sector_subject_area,awarding_organisation,total_credits,guided_learning_hours,total_qualification_time,awarding_organization
603/4162/2,"This qualification covers the skills and knowledge required for learners in the relevant field, detailing practical, theoretical, and assessment methodologies.",D/601/5313,Unit 1: Introduction to Qualification,An introductory unit that covers the foundational aspects of the qualification framework.,"1. Understand the qualification framework and its components.
  - Describe the main components of the qualification framework.
  - Identify relevant regulations and standards.",Occupational Qualification,Level 2,Portfolio of Evidence,Building and construction,/organisations/RN5334,,147.0,440.0,ProQual Awarding Body
603/4162/2,"This qualification covers the skills and knowledge required for learners in the relevant field, detailing practical, theoretical, and assessment methodologies.",D/601/5314,Unit 2: Practical Application,Focuses on the practical application of skills learned in real-world scenarios.,"1. Demonstrate effective application of skills in appropriate contexts.
  - Carry out specific tasks accurately.
  - Apply skills in various settings.",Occupational Qualification,Level 2,Portfolio of Evidence,Building and construction,/organisations/RN5334,,147.0,440.0,ProQual Awarding Body
603/4162/2,This qualification provides a comprehensive understanding of the subject matter and practical skills through various units.,D/601/5313,Unit 1: Introduction to Subject,"This unit covers the basic principles and initial concepts of the subject, providing foundational knowledge.","1. Understand the core principles of the subject.
  - Describe the basic principles of the subject.
  - Explain the importance of these principles in real-world situations.
2. Demonstrate initial practical skills.
  - Perform basic practical tasks related to the subject.
  - Reflect on practical experiences to improve skills.",Occupational Qualification,Level 2,Portfolio of Evidence,Building and construction,/organisations/RN5334,,147.0,440.0,ProQual Awarding Body
603/4162/2,This qualification provides a comprehensive understanding of the subject matter and practical skills through various units.,H/601/5314,Unit 2: Advanced Techniques,"Focuses on more complex techniques and applications in the subject area, building on the foundational knowledge gained.","1. Apply advanced techniques in practical scenarios.
  - Demonstrate advanced handling of tools and resources.
  - Evaluate the effectiveness of techniques used.",Occupational Qualification,Level 2,Portfolio of Evidence,Building and construction,/organisations/RN5334,,147.0,440.0,ProQual Awarding Body
501/1885/7,"The Level 3 Diploma in Work-based Horse Care and Management is designed for learners who wish to gain knowledge and skills in managing horse care within a work-based setting, including health and management practices, training, and more.",Y/600/3791,Receive a horse and carry out an initial assessment,This unit provides knowledge on receiving a horse and assessing its condition upon arrival.,"1. Be able to receive a horse and carry out an initial assessment
  - Receive horse and settle into appropriate accommodation
  - Carry out an initial assessment of the horse covering identification, health, mobility, and behaviour
  - Communicate appropriate information to relevant parties",Occupational Qualification,Level 3,Portfolio of Evidence,Animal care and veterinary science,/organisations/RN5217,64.0,442.0,640.0,City and Guilds of London Institute
603/4162/2,This qualification provides learners with key skills and understanding in their chosen field.,A/601/1234,Unit 1: Introduction to Subject,"This unit covers the foundational concepts of the subject, including key terms and basic skills.","1. Demonstrate understanding of key terms.
  - Define key terms accurately.
  - Provide examples of key terms in context.
2. Apply basic skills in practical scenarios.
  - Show use of skills in practical tasks.
  - Evaluate performance in practical scenarios.",Occupational Qualification,Level 2,Portfolio of Evidence,Building and construction,/organisations/RN5334,,147.0,440.0,ProQual Awarding Body
603/4162/2,This qualification provides learners with key skills and understanding in their chosen field.,B/601/5678,Unit 2: Advanced Topics,This unit explores advanced topics and offers deeper insights into the subject area.,"1. Analyze complex concepts within the subject.
  - Identify complex concepts.
  - Explain relevance to practical applications.
2. Develop projects based on advanced topics.
  - Create project plans.
  - Present projects clearly.",Occupational Qualification,Level 2,Portfolio of Evidence,Building and construction,/organisations/RN5334,,147.0,440.0,ProQual Awarding Body
600/0879/9,This qualification provides learners with the knowledge and essential hand skills to enable them to progress into an intermediate apprenticeship in Engineering or onto further learning.,A/600/0879/9,Level 1 Certificate in Engineering (QCF),"This qualification equips learners with essential knowledge and skills in Engineering, preparing them for careers such as mechanical engineers or electrical & electronic engineers within the Advanced Manufacturing and Engineering sector.","1. Understand the fundamental concepts of engineering.
  - Demonstrate knowledge of engineering principles.
  - Describe the role of engineers in modern industry.
2. Develop essential hand skills for engineering practices.
  - Perform basic engineering tasks using hand tools.
  - Demonstrate safe working practices in engineering.",Vocationally-Related Qualification,Level 1,"Multiple Choice Examination, Practical Demonstration/Assignment, Written Examination",Engineering,/organisations/RN5217,21.0,180.0,210.0,City and Guilds of London Institute
603/4162/2,This qualification provides a comprehensive understanding of data analysis principles and practices.,D/601/5313,Introduction to Data Analysis,"This unit covers the fundamentals of data analysis, including data collection techniques and basic statistical methods.","1. Understand various data collection techniques.
  - Explain different types of data.
  - Identify appropriate data collection methods.
2. Apply basic statistical methods to analyze data.
  - Perform calculations of mean, median, and mode.
  - Present data in graphical formats.",Occupational Qualification,Level 2,Portfolio of Evidence,Building and construction,/organisations/RN5334,,147.0,440.0,ProQual Awarding Body
603/4162/2,Overview of the qualification goes here.,D/601/5313,Unit Title 1,Description of Unit 1.,"1. Learning Outcome 1 Description
  - Assessment Criteria 1
  - Assessment Criteria 2",Occupational Qualification,Level 2,Portfolio of Evidence,Building and construction,/organisations/RN5334,,147.0,440.0,ProQual Awarding Body
603/4162/2,Overview of the qualification goes here.,D/601/5314,Unit Title 2,Description of Unit 2.,"1. Learning Outcome 2 Description
  - Assessment Criteria 3
  - Assessment Criteria 4",Occupational Qualification,Level 2,Portfolio of Evidence,Building and construction,/organisations/RN5334,,147.0,440.0,ProQual Awarding Body
603/4162/2,"This qualification is designed to enhance learners' knowledge and skills in a specific field, providing a comprehensive foundation for further learning and employment opportunities.",A/601/5313,Unit 1: Introduction to the Subject,This unit covers the fundamental concepts and theories related to the subject area.,"1. Understand the foundational concepts of the subject area.
  - Describe key concepts
  - Explain the importance of methods in the subject",Occupational Qualification,Level 2,Portfolio of Evidence,Building and construction,/organisations/RN5334,,147.0,440.0,ProQual Awarding Body
603/4162/2,"This qualification is designed to enhance learners' knowledge and skills in a specific field, providing a comprehensive foundation for further learning and employment opportunities.",D/601/5314,Unit 2: Advanced Applications,This unit focuses on the application of advanced techniques and methods within the field.,"1. Apply advanced techniques in practical scenarios.
  - Demonstrate techniques in case studies
  - Evaluate outcomes of applied techniques",Occupational Qualification,Level 2,Portfolio of Evidence,Building and construction,/organisations/RN5334,,147.0,440.0,ProQual Awarding Body
603/4162/2,This qualification provides learners with the skills and knowledge needed to succeed in their chosen industry.,D/601/5313,Understanding Business,This unit focuses on the fundamental principles of business operations and management.,"1. Understand the principles of business operations.
  - Analyze business operations and their impact on overall performance.
  - Evaluate the effectiveness of business strategies.
2. Demonstrate knowledge of management principles.
  - Describe key management roles and responsibilities.
  - Assess the impact of leadership styles on organizational performance.",Occupational Qualification,Level 2,Portfolio of Evidence,Building and construction,/organisations/RN5334,,147.0,440.0,ProQual Awarding Body
603/4162/2,This unit is all about giving customers service that exceeds their expectations and sits within the customer service theme of Impression and Image.,D/601/5313,Go the Extra Mile in Customer Service,This unit focuses on providing exceptional customer service that surpasses standard expectations and norms.,"1. Distinguish between routine service standards and going the extra mile.
  - Explain the service offer clearly and concisely.
  - Identify customer expectations and needs.
  - Match the service offer with customer expectations and identify differences.
  - Identify options for actions that will provide added value.
  - Choose appropriate actions to impress customers.
2. Check that your extra mile ideas are feasible.
  - Match ideas for added value against authority to implement them.
  - Check feasibility within organizational guidelines.
  - Check compliance with regulatory boundaries.
  - Ensure ideas do not adversely affect service to other customers.
  - Explain ideas for added value to a senior colleague.
3. Go the extra mile in customer service.
  - Take action to provide added value to customer service.
  - Ensure customers are aware of the added value of actions.
  - Monitor effects of added value actions on other customers.
  - Note and pass on positive feedback from customers.
  - Suggest actions for routine implementation if successful.
4. Know how to effectively go the extra mile in customer service.
  - Describe the organization’s service offer.
  - Explain how customer expectations are formed.
  - Identify types of service actions seen as adding value.
  - Outline organization’s rules regarding authority for extra-mile actions.
  - Identify legislation impacting the ability to go the extra mile.
  - Describe feedback mechanisms regarding customer service experiences.
  - Outline procedures for making changes to the service offer.",Occupational Qualification,Level 2,Portfolio of Evidence,Building and construction,/organisations/RN5334,,147.0,440.0,ProQual Awarding Body
603/4162/2,This qualification covers key areas of the subject and provides learners with the practical and theoretical knowledge required for success.,D/601/5313,Introduction to the Subject,"This unit introduces the basic concepts and principles in the subject area, enabling learners to develop foundational knowledge.","1. Understand the fundamental concepts of the subject.
  - Define key terms and concepts
  - Explain the relevance of the concepts to practical applications",Occupational Qualification,Level 2,Portfolio of Evidence,Building and construction,/organisations/RN5334,,147.0,440.0,ProQual Awarding Body
603/4162/2,This qualification covers key areas of the subject and provides learners with the practical and theoretical knowledge required for success.,H/601/5320,Advanced Topics in the Subject,"This unit dives deeper into advanced theories and applications, challenging learners to engage with complex ideas and scenarios.","1. Analyze advanced theories in the subject.
  - Discuss theories in detail
  - Evaluate their practical implications",Occupational Qualification,Level 2,Portfolio of Evidence,Building and construction,/organisations/RN5334,,147.0,440.0,ProQual Awarding Body
600/0106/9,"This qualification is designed for learners who wish for career progression in veterinary care, providing practical competence and knowledge relevant to the role of veterinary carer in a modern practice.",M/502/6953,Principles and practices of animal handling and care in the veterinary environment,"This unit provides learners with knowledge and skills to handle and care for animals in a veterinary environment, including health checks, medication administration, and understanding animal behavior.","1. Be able to identify the needs of common species whilst under veterinary care
  - Maintain accommodation for common species within a veterinary care environment
  - Undertake feeding and watering regimes for the common species whilst in a veterinary care environment.
2. Know the accommodation requirements of animals in a veterinary care environment
  - Describe species specific environmental conditions required for animal accommodation in the veterinary care environment
  - Identify appropriate contents and fixtures required in animal accommodation.",Vocationally-Related Qualification,Level 2,"Portfolio of Evidence, Practical Demonstration/Assignment",Animal care and veterinary science,/organisations/RN5217,53.0,398.0,530.0,City and Guilds of London Institute
600/1970/0,"This qualification allows candidates to learn, develop and practise the skills required for employment and/or career progression in the aeronautical engineering sector, focusing on Civil Aircraft Electrical and Avionics.",T/503/0860,Civil legislation in aviation,This unit aims to give the learner a working knowledge of aviation legislation to enable maintenance work to be done within the requirements of the Law.,"1. Understand the roles of European and International aviation safety organisations
  - Describe the role of the International Civil Aviation Organisation (ICAO)
  - Describe the role of the European Aviation Safety Agency (EASA)
  - Describe the role of the European Commission (EC)
  - Describe the role of the EU Member States and National Aviation Authorities
  - Explain the relationships between parts of the European Aviation Safety Regulations.
2. Understand the requirements for aircraft maintenance personnel and organisations
  - Explain the training and certification requirements for Maintenance Certifying Staff
  - Explain the requirements for Approved Maintenance organisations
  - Explain the requirements of EU-OPS for Commercial Air Transportation.
3. Understand the European requirements for aircraft certification
  - Explain the general aircraft certification rules
  - Explain type certification
  - Explain Supplemental Type Certification
  - Explain Part-21 Design/Production Organisation Approvals
  - Explain the Certificate of Airworthiness
  - Explain the Certificate of Registration
  - Explain the Noise Certificate
  - Explain the Weight Schedule
  - Explain the Radio Station Licence and Approval.
4. Understand the contents of Part-M and other National and International requirements
  - Explain the purpose of the sub-parts and annexes of Part-M
  - Explain further National and International documentation and procedures
  - Explain the requirements for Continuing Airworthiness
  - Explain the requirements for test flights
  - Explain the requirements for ETOPS maintenance and dispatch
  - Explain the requirements for All Weather and Category 2/3 operations.",Vocationally-Related Qualification,Level 3,"Multiple Choice Examination, Practical Examination, Written Examination",Engineering,/organisations/RN5217,73.0,585.0,730.0,City and Guilds of London Institute
600/1970/0,"This qualification allows candidates to learn, develop and practise the skills required for employment and/or career progression in the aeronautical engineering sector, focusing on Civil Aircraft Electrical and Avionics.",T/503/0888,Digital techniques and electronic instrument systems in aircraft,This unit aims to give the learner an understanding of digital principles to enable further study of digital avionics systems.,"1. Understand electronic flight instrument systems (EFIS)
  - Explain the ergonomic layout of an aircraft flight deck or cockpit
  - Describe primary flight displays (PFD)
  - Describe multi-function displays (MFD)
  - Describe engine indicating and crew alerting systems (EICAS).
2. Understand numbering systems and data methods
  - Explain the need for different numbering systems
  - Explain the structure and rules of binary
  - Explain the structure and rules of octal
  - Explain the structure and rules of hexadecimal
  - Convert numerical values between number systems
  - Explain the principles of analogue-to-digital conversion
  - Explain the principles of digital-to-analogue conversion.
3. Understand data buses and the standards applying to them
  - Explain data buses in aircraft systems
  - Describe components of a data bus and their function
  - Describe common data bus standards
  - Explain the principles of data bus protocols.
4. Understand the operation of logic circuits and microprocessors
  - Explain logic gate symbols, tables and equivalent circuits
  - Describe typical aircraft applications of logic circuits
  - Explain the circuits represented by schematic diagrams of logic circuits
  - Describe the basic layout and uses of a typical microprocessor
  - Describe the operation of key components of a typical microprocessor.",Vocationally-Related Qualification,Level 3,"Multiple Choice Examination, Practical Examination, Written Examination",Engineering,/organisations/RN5217,73.0,585.0,730.0,City and Guilds of London Institute
600/1970/0,"This qualification allows candidates to learn, develop and practise the skills required for employment and/or career progression in the aeronautical engineering sector, focusing on Civil Aircraft Electrical and Avionics.",M/503/1263,Human factors in aviation,The aim of this unit is to give the learner a comprehensive knowledge of human factors within the aircraft industry to assist them in living and working safely.,"1. Understand why human factors are important in aviation
  - Explain the term ‘Human Factors’
  - Explain why Human Factors are important in the aeronautical engineering workplace
  - Explain categories of Human Factor that are important to aeronautical engineering staff.
2. Understand features and limitations of human performance
  - Explain how images are seen and interpreted by humans
  - Explain how sounds are heard and interpreted by humans
  - Explain limitations of human memory
  - Describe factors that affect mental attention span
  - Describe how variations in an individual’s sight and hearing can affect their behaviour
  - Explain how working in challenging environments presents risks to airworthiness.
3. Understand aspects of social psychology
  - Explain areas of individual and group responsibility in aircraft engineering environments
  - Explain motivation and de-motivation
  - Explain ‘peer pressure’
  - Explain company culture
  - Explain the concepts of team working
  - Identify the primary responsibilities of engineering managers and supervisors
  - Discuss the basic concept of leadership.",Vocationally-Related Qualification,Level 3,"Multiple Choice Examination, Practical Examination, Written Examination",Engineering,/organisations/RN5217,73.0,585.0,730.0,City and Guilds of London Institute
600/1970/0,"This qualification allows candidates to learn, develop and practise the skills required for employment and/or career progression in the aeronautical engineering sector, focusing on Civil Aircraft Electrical and Avionics.",A/503/0956,Fundamentals of electronics and avionics,This unit aims to give the learner sufficient knowledge of aircraft electrical and avionic principles to allow further study on specific systems.,"1. Understand the principles of electrical current and charge
  - Describe the structure of the atom
  - Describe the distribution of electrical charge in different types of particle
  - Describe the molecular structure of electrical materials
  - Explain the principle of attraction and repulsion of charged particles
  - Explain electrical conduction in different media
  - Describe the nature of static electricity
  - Describe safety precautions associated with static electricity
  - Define terms associated with electricity.
2. Understand the principles of aircraft electrical power generation
  - Describe how electricity can be produced using a range of methods
  - Explain how to calculate the internal resistance of a battery
  - Describe the features of a sinusoidal waveform
  - Explain terms relating to a sinusoidal waveform
  - Describe the features of other common wave forms
  - Make calculations relating to alternating current, voltage and power
  - Describe a range of sensors.",Vocationally-Related Qualification,Level 3,"Multiple Choice Examination, Practical Examination, Written Examination",Engineering,/organisations/RN5217,73.0,585.0,730.0,City and Guilds of London Institute
600/1970/0,"This qualification allows candidates to learn, develop and practise the skills required for employment and/or career progression in the aeronautical engineering sector, focusing on Civil Aircraft Electrical and Avionics.",D/503/0965,Aircraft aerodynamics and control in fixed-wing aircraft,This unit aims to give the learner a working knowledge of aircraft aerodynamics and control to as a basis for further study.,"1. Know the properties of the Earth’s atmosphere
  - Describe the basic nature and composition of the Earth’s atmosphere
  - Describe the main layers of the Earth’s atmosphere
  - Solve problems using the basic gas laws
  - Describe the use of the International Standard Atmosphere (ISA) in aviation.
2. Understand the nature of airflow around aerodynamic bodies
  - Describe the main properties of airflow
  - Describe how air flows around an aerodynamic body
  - Explain how an aerofoil stalls
  - Explain the effect of a stalled aerofoil on an aircraft in flight
  - Describe the main characteristics of symmetrical and cambered aerofoils
  - Describe how the airflow around aerofoils changes with angle of attack and velocity
  - Explain how lift and drag affect aircraft performance
  - Use standard equations to explain how lift and drag can vary
  - Explain how a high lift device alters the flow characteristics of an aerofoil
  - Explain how the total drag of an aircraft is generated
  - Describe common methods of drag reduction.",Vocationally-Related Qualification,Level 3,"Multiple Choice Examination, Practical Examination, Written Examination",Engineering,/organisations/RN5217,73.0,585.0,730.0,City and Guilds of London Institute
600/1970/0,"This qualification allows candidates to learn, develop and practise the skills required for employment and/or career progression in the aeronautical engineering sector, focusing on Civil Aircraft Electrical and Avionics.",J/503/1107,Maintaining aircraft electrical cables,The aim of this unit is to give the learner a detailed understanding of the process of testing electrical and avionics equipment and maintaining aircraft wiring.,"1. Know workshop safety, tool selection and tool control
  - Describe fire precautions and procedures in workshop environments
  - Describe compressed gas procedures in workshop environments
  - Describe oil and chemical procedures in workshop environments
  - Describe safe working procedures in workshop environments
  - Describe tool and material control procedures in workshop environments
  - Describe tools used in aircraft electrical installation work
  - Describe standards of electrical and avionic work
  - Describe the system of fits and clearances used in aircraft engineering.
2. Understand standards for engineering drawings in the aviation industry
  - Describe the main types of aircraft engineering drawings
  - Describe how drawings are uniquely identified and maintained up to date
  - Describe features of other common drawing standards used in the aviation industry
  - Explain the use of wiring diagrams, tables and other schematic diagrams used in aircraft electrical and avionics systems.",Vocationally-Related Qualification,Level 3,"Multiple Choice Examination, Practical Examination, Written Examination",Engineering,/organisations/RN5217,73.0,585.0,730.0,City and Guilds of London Institute
600/1970/0,"This qualification allows candidates to learn, develop and practise the skills required for employment and/or career progression in the aeronautical engineering sector, focusing on Civil Aircraft Electrical and Avionics.",J/503/1110,Electronics in aircraft,This unit aims to give the learner a comprehensive knowledge of electrical and electronic principles in order to understand complex aircraft electrical and electronic systems.,"1. Understand electrical and electronic components
  - Describe the properties of resistors
  - Describe the properties of capacitors
  - Explain the fundamental laws of magnetism
  - Explain the fundamental principles of electromagnetic induction
  - Describe the properties of inductors
  - Describe the properties of semi-conductor devices.
2. Understand transformers, filters and integrated circuits
  - Describe how transformers are constructed
  - Explain the operation of transformers
  - Use transformer theory to solve simple design problems
  - Describe simple filter circuits
  - Use filter theory to solve design problems
  - Describe how integrated circuits are constructed
  - Explain the different types of integrated circuit.",Vocationally-Related Qualification,Level 3,"Multiple Choice Examination, Practical Examination, Written Examination",Engineering,/organisations/RN5217,73.0,585.0,730.0,City and Guilds of London Institute
600/1970/0,"This qualification allows candidates to learn, develop and practise the skills required for employment and/or career progression in the aeronautical engineering sector, focusing on Civil Aircraft Electrical and Avionics.",T/503/1216,Maintaining aircraft avionic systems,"This unit aims to give the learner a comprehensive understanding of aircraft electrical and avionic systems, applying basic principles previously learned.","1. Understand aircraft instrumentation and air data systems
  - Explain the need for aircraft instrumentation
  - Explain the operation of pitot-static systems
  - The operation of pitot-static system components
  - Describe procedures for pitot-static system functional checks
  - Describe stall warning and angle of attack indicating systems
  - Explain how outputs are computed within an air data system
  - Explain instrumentation system sensors
  - Describe the layout of aircraft engine indication systems
  - Explain test equipment for a range of indicating systems
  - Describe gyroscopic primary flight instruments
  - Explain flight data and cockpit voice recorders.",Vocationally-Related Qualification,Level 3,"Multiple Choice Examination, Practical Examination, Written Examination",Engineering,/organisations/RN5217,73.0,585.0,730.0,City and Guilds of London Institute
600/1970/0,"This qualification allows candidates to learn, develop and practise the skills required for employment and/or career progression in the aeronautical engineering sector, focusing on Civil Aircraft Electrical and Avionics.",D/503/1128,Aviation mathematics and science for technicians,This unit aims to give the learner the maths and science knowledge in an aviation context to allow further study of aircraft manufacturing and maintenance practices.,"1. Be able to use principles of arithmetic
  - Define arithmetical terms
  - Use standard operators on arithmetical expressions
  - Calculate the LCM and HCF of arithmetical expressions
  - Use basic operators on fractions
  - Convert between fraction, decimal and percentage values
  - Simplify fractions by cancelling
  - Distinguish between ratio and proportion
  - Calculate percentage values for common engineering variables
  - Calculate by manipulating simple arithmetic ratios
  - Distinguish between direct and inverse proportion
  - Calculate the constant of proportionality for arithmetical expressions
  - Define types of decimal values
  - Distinguish between ‘significant figures’ and ‘decimal places’
  - Convert numbers to standard form
  - Manipulate arithmetic expressions in standard form
  - Estimate values for expressions involving decimal values.",Vocationally-Related Qualification,Level 3,"Multiple Choice Examination, Practical Examination, Written Examination",Engineering,/organisations/RN5217,73.0,585.0,730.0,City and Guilds of London Institute
600/1970/0,"This qualification allows candidates to learn, develop and practise the skills required for employment and/or career progression in the aeronautical engineering sector, focusing on Civil Aircraft Electrical and Avionics.",D/503/1128,Aviation mathematics and science for technicians,This unit aims to give the learner the maths and science knowledge in an aviation context to allow further study of aircraft manufacturing and maintenance practices.,"1. Understand principles of fluid motion related to aircraft in flight
  - Explain density and relative density (specific gravity)
  - Solve simple problems involving changing altitude
  - Explain viscosity
  - Describe the effects of streamlining on the properties of air over an aerofoil surface
  - Explain Bernoulli’s Principle for a non-viscous fluid
  - Explain the relationship between Bernoulli’s principle, a venturi and lift on an aerofoil.",Vocationally-Related Qualification,Level 3,"Multiple Choice Examination, Practical Examination, Written Examination",Engineering,/organisations/RN5217,73.0,585.0,730.0,City and Guilds of London Institute
603/4162/2,"City & Guilds Level 3 Diploma in Adult Care (England) (3096-31) is designed for learners working in adult care settings. The qualification covers core competencies in adult care, supporting individuals with various needs, and fostering an understanding of health and safety practices, communication, and person-centred approaches in care delivery.",D/601/5313,Responsibilities and ways of working in adult care settings/services,"This unit focuses on the responsibilities of adult care workers in various settings, emphasizing the importance of effective collaboration and communication.","1. Understand working relationships in care settings.
  - Explain how a working relationship is different from a personal relationship
  - Describe different working relationships in care settings/services
2. Understand agreed ways of working.
  - Describe why it is important to work within the scope of own role, responsibility, and training
  - Define what is meant by 'delegated health care task'",Occupational Qualification,Level 2,Portfolio of Evidence,Building and construction,/organisations/RN5334,,147.0,440.0,ProQual Awarding Body
603/4162/2,"City & Guilds Level 3 Diploma in Adult Care (England) (3096-31) is designed for learners working in adult care settings. The qualification covers core competencies in adult care, supporting individuals with various needs, and fostering an understanding of health and safety practices, communication, and person-centred approaches in care delivery.",D/601/5314,Safeguarding and protection in adult care settings/services,This unit emphasizes understanding and implementing safeguarding measures to protect individuals from abuse and improper treatment.,"1. Understand the national and local context of safeguarding and protection from abuse and improper treatment.
  - Outline current relevant legislation, principles, national policies, frameworks, and local systems related to safeguarding.",Occupational Qualification,Level 2,Portfolio of Evidence,Building and construction,/organisations/RN5334,,147.0,440.0,ProQual Awarding Body
